,,,Type,,Date,,Num,,Name,,Memo,,Account,,Clr,,Split,,Amount,,Balance
Jan - Dec 26,,,,,,,,,,,,,,,,,,,,,
,,,Check,,01/12/2026,,3,,ELEMENT ENGINEERING,,Water PNA Project,,412 · WATER SUPPLIES/REPAIRS,,Ö,,101 · CASH IN BANK - UTILITY,,0.00,,0.00
,,,Deposit,,01/13/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,"1,535.00",,"1,535.00"
,,,Deposit,,01/13/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,"-1,535.00",,0.00
,,,Deposit,,01/14/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,-SPLIT-,,"1,250.00",,"1,250.00"
,,,Deposit,,01/14/2026,,,,WATER PAYMENTS,,water payments,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-250.00,,"1,000.00"
,,,Deposit,,01/14/2026,,,,BENT/PROWERS CEMETARY DST.,,2026 lease,,364 · LEASE,,,,101 · CASH IN BANK - UTILITY,,"-1,000.00",,0.00
,,,Check,,01/15/2026,,12132,,COLORADO ANALYTICAL LAB,,,,101 · CASH IN BANK - UTILITY,,Ö,,470 · OUTSIDE SERVICE - LAB FEES,,-24.00,,-24.00
,,,Check,,01/15/2026,,12132,,COLORADO ANALYTICAL LAB,,COLIFORM TESTING,,470 · OUTSIDE SERVICE - LAB FEES,,,,101 · CASH IN BANK - UTILITY,,24.00,,0.00
,,,Deposit,,01/15/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,99.99,,99.99
,,,Deposit,,01/15/2026,,,,WATER PAYMENTS,,VIA CREDIT CARD,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-99.99,,0.00
,,,Deposit,,01/15/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,"1,666.48",,"1,666.48"
,,,Deposit,,01/15/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,"-1,666.48",,0.00
,,,General Journal,,01/15/2026,,367,,,,returned check-dent,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,-50.00,,-50.00
,,,General Journal,,01/15/2026,,367,,BOUNCED CHECK,,returned check-dent,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,50.00,,0.00
,,,General Journal,,01/15/2026,,367,,,,ups coliform testing-postage,,101 · CASH IN BANK - UTILITY,,Ö,,465 · OFFICE SUPPLIES/POSTAGE,,-11.96,,-11.96
,,,General Journal,,01/15/2026,,367,,,,ups coliform testing-postage,,465 · OFFICE SUPPLIES/POSTAGE,,,,101 · CASH IN BANK - UTILITY,,11.96,,0.00
,,,Check,,01/16/2026,,12133,,RUPP'S TRUCK AND TRAILER,,,,101 · CASH IN BANK - UTILITY,,Ö,,453 · TRASH SUPPLIES/REPAIRS,,-400.00,,-400.00
,,,Check,,01/16/2026,,12133,,RUPP'S TRUCK AND TRAILER,,TRASH TRUCK REPAIRS,,453 · TRASH SUPPLIES/REPAIRS,,,,101 · CASH IN BANK - UTILITY,,400.00,,0.00
,,,Deposit,,01/16/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,"2,857.15",,"2,857.15"
,,,Deposit,,01/16/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,"-2,857.15",,0.00
,,,Deposit,,01/20/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,110.00,,110.00
,,,Deposit,,01/20/2026,,,,WATER PAYMENTS,,VIA CREDIT CARD,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-110.00,,0.00
,,,Deposit,,01/20/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,322.11,,322.11
,,,Deposit,,01/20/2026,,,,WATER PAYMENTS,,VIA CREDIT CARD,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-322.11,,0.00
,,,Deposit,,01/20/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,"2,630.65",,"2,630.65"
,,,Deposit,,01/20/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,"-2,630.65",,0.00
,,,Deposit,,01/20/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,696.00,,696.00
,,,Deposit,,01/20/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-696.00,,0.00
,,,Deposit,,01/21/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,"1,851.60",,"1,851.60"
,,,Deposit,,01/21/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,"-1,851.60",,0.00
,,,Deposit,,01/22/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,600.00,,600.00
,,,Deposit,,01/22/2026,,,,WATER PAYMENTS,,VIA CREDIT CARD,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-600.00,,0.00
,,,Deposit,,01/22/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,392.00,,392.00
,,,Deposit,,01/22/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-392.00,,0.00
,,,Deposit,,01/23/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,666.50,,666.50
,,,Deposit,,01/23/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-666.50,,0.00
,,,Deposit,,01/26/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,615.00,,615.00
,,,Deposit,,01/26/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-615.00,,0.00
,,,Check,,01/27/2026,,12137,,VALLEY PIPELINE,,,,101 · CASH IN BANK - UTILITY,,Ö,,412 · WATER SUPPLIES/REPAIRS,,"-1,902.00",,"-1,902.00"
,,,Check,,01/27/2026,,12137,,VALLEY PIPELINE,,SLUDGE REMOVAL FROM PARK HOLDING TANK,,412 · WATER SUPPLIES/REPAIRS,,,,101 · CASH IN BANK - UTILITY,,"1,902.00",,0.00
,,,Deposit,,01/27/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,214.99,,214.99
,,,Deposit,,01/27/2026,,,,WATER PAYMENTS,,VIA CREDIT CARD,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-214.99,,0.00
,,,Deposit,,01/28/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,110.00,,110.00
,,,Deposit,,01/28/2026,,,,WATER PAYMENTS,,VIA CREDIT CARD,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-110.00,,0.00
,,,Deposit,,01/29/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,654.97,,654.97
,,,Deposit,,01/29/2026,,,,WATER PAYMENTS,,VIA CREDIT CARD,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-654.97,,0.00
,,,General Journal,,01/30/2026,,311,,,,RICK JONES PAYROLL,,460.12 · ADMIN-WATER PT SALARIES,,,,-SPLIT-,,"1,055.00",,"1,055.00"
,,,General Journal,,01/30/2026,,311,,,,RICK JONES PAYROLL,,483 · PAYROLL TAXES - FICA,,,,460.12 · ADMIN-WATER PT SALARIES,,80.71,,"1,135.71"
,,,General Journal,,01/30/2026,,311,,,,RICK JONES PAYROLL,,270 · DUE TO/FROM GENERAL FUND,,,,460.12 · ADMIN-WATER PT SALARIES,,"-1,135.71",,0.00
,,,General Journal,,01/30/2026,,311,,,,BILL GALLEGOS PAYROLL,,460.12 · ADMIN-WATER PT SALARIES,,,,-SPLIT-,,292.00,,292.00
,,,General Journal,,01/30/2026,,311,,,,BILL GALLEGOS PAYROLL,,483 · PAYROLL TAXES - FICA,,,,460.12 · ADMIN-WATER PT SALARIES,,22.34,,314.34
,,,General Journal,,01/30/2026,,311,,,,BILL GALLEGOS PAYROLL,,270 · DUE TO/FROM GENERAL FUND,,,,460.12 · ADMIN-WATER PT SALARIES,,-314.34,,0.00
,,,General Journal,,01/30/2026,,311,,,,RICK REIFSCHNEIDER,,460.12 · ADMIN-WATER PT SALARIES,,,,-SPLIT-,,375.38,,375.38
,,,General Journal,,01/30/2026,,311,,,,RICK REIFSCHNEIDER,,483 · PAYROLL TAXES - FICA,,,,460.12 · ADMIN-WATER PT SALARIES,,28.72,,404.10
,,,General Journal,,01/30/2026,,311,,,,RICK REIFSCHNEIDER,,270 · DUE TO/FROM GENERAL FUND,,,,460.12 · ADMIN-WATER PT SALARIES,,-404.10,,0.00
,,,General Journal,,01/30/2026,,364,,,,DEBBIE DILLON PAYROLL,,460.1 · ADMIN-CLERK SALARIES,,,,-SPLIT-,,"1,168.69",,"1,168.69"
,,,General Journal,,01/30/2026,,364,,,,DEBBIE DILLON PAYROLL,,483 · PAYROLL TAXES - FICA,,,,460.1 · ADMIN-CLERK SALARIES,,89.40,,"1,258.09"
,,,General Journal,,01/30/2026,,364,,,,DEBBIE DILLON PAYROLL,,270 · DUE TO/FROM GENERAL FUND,,,,460.1 · ADMIN-CLERK SALARIES,,"-1,258.09",,0.00
,,,General Journal,,01/30/2026,,311,,,,SCOTT WITTMAN,,460 · SUPT SALARIES,,,,-SPLIT-,,"1,164.85",,"1,164.85"
,,,General Journal,,01/30/2026,,311,,,,SCOTT WITTMAN,,483 · PAYROLL TAXES - FICA,,,,460 · SUPT SALARIES,,89.11,,"1,253.96"
,,,General Journal,,01/30/2026,,311,,,,SCOTT WITTMAN,,270 · DUE TO/FROM GENERAL FUND,,,,460 · SUPT SALARIES,,"-1,253.96",,0.00
,,,General Journal,,01/30/2026,,364,,,,WSD COLLECTION FEE,,222 · DUE TO/FROM WSD,,,,-SPLIT-,,275.00,,275.00
,,,General Journal,,01/30/2026,,364,,,,WSD COLLECTION FEE,,310 · WSD COLLECTIN FEE,,,,222 · DUE TO/FROM WSD,,-500.00,,-225.00
,,,General Journal,,01/30/2026,,364,,,,BROOKSIDE MANAGEMENT FEE,,366 · BCL MANAGEMENT FEE,,,,222 · DUE TO/FROM WSD,,"-1,000.00",,"-1,225.00"
,,,General Journal,,01/30/2026,,364,,,,WSD COLLECTION FEE,,270.2 · DUE TO/FROM BROOKSIDE,,,,222 · DUE TO/FROM WSD,,"1,000.00",,-225.00
,,,General Journal,,01/30/2026,,364,,,,WSD COLLECTION FEE,,223 · DUE TO FROM WSD-GENERAL,,,,222 · DUE TO/FROM WSD,,225.00,,0.00
,,,Deposit,,01/30/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,900.00,,900.00
,,,Deposit,,01/30/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-900.00,,0.00
,,,General Journal,,01/30/2026,,373,,BILLING REGISTER,,BILLING REGISTRY,,105 · ACCOUNTS RECEIVABLE,,,,-SPLIT-,,"26,426.05",,"26,426.05"
,,,General Journal,,01/30/2026,,373,,BILLING REGISTER,,BILLING REGISTRY,,222 · DUE TO/FROM WSD,,,,105 · ACCOUNTS RECEIVABLE,,"-7,887.00",,"18,539.05"
,,,General Journal,,01/30/2026,,373,,BILLING REGISTER,,BILLING REGISTRY,,348 · TRASH SALES,,,,105 · ACCOUNTS RECEIVABLE,,"-8,969.00",,"9,570.05"
,,,General Journal,,01/30/2026,,373,,BILLING REGISTER,,LAND LEASE,,270 · DUE TO/FROM GENERAL FUND,,,,105 · ACCOUNTS RECEIVABLE,,-50.00,,"9,520.05"
,,,General Journal,,01/30/2026,,373,,BILLING REGISTER,,BILLING REGISTRY,,301 · WATER SALES,,,,105 · ACCOUNTS RECEIVABLE,,"-8,960.40",,559.65
,,,General Journal,,01/30/2026,,373,,BILLING REGISTER,,BILLING REGISTRY,,315 · PENALTY CHARGE,,,,105 · ACCOUNTS RECEIVABLE,,-245.65,,314.00
,,,General Journal,,01/30/2026,,373,,BILLING REGISTER,,PET FEE,,270 · DUE TO/FROM GENERAL FUND,,,,105 · ACCOUNTS RECEIVABLE,,-314.00,,0.00
,,,Deposit,,01/31/2026,,,,,,Interest,,101 · CASH IN BANK - UTILITY,,Ö,,317 · INTEREST (INCOME),,8.46,,8.46
,,,Deposit,,01/31/2026,,,,,,Interest,,317 · INTEREST (INCOME),,,,101 · CASH IN BANK - UTILITY,,-8.46,,0.00
,,,Check,,02/02/2026,,12138,,SOUTHEASTERN COLO. WATER ACTIVITY ENT.,,,,101 · CASH IN BANK - UTILITY,,Ö,,416 · DUES & SUBSCRIPTIONS,,-847.82,,-847.82
,,,Check,,02/02/2026,,12138,,SOUTHEASTERN COLO. WATER ACTIVITY ENT.,,,,416 · DUES & SUBSCRIPTIONS,,,,101 · CASH IN BANK - UTILITY,,847.82,,0.00
